Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-01-01,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-02,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-03,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-04,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-05,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-06,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-07,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-08,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-09,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-10,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-11,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-12,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-13,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-14,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-15,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-16,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-17,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-18,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-19,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-20,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-21,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
2020-01-22,100.4,97.9,100.7,99.8,102.4,98.1,99.9,100.2,100.5,100.9,100.7
