Monat;KW;Jahr;Datum;Hof;Schicht;Tour;Tonnage;Abfallart
1;1;2019;02.01.19;VMG;1;12;32,08;HM
1;1;2019;02.01.19;VMG;1;25;33,02;HM
1;1;2019;02.01.19;VMG;1;32;37,26;HM
1;1;2019;02.01.19;VMG;1;36;32,39;HM
1;1;2019;02.01.19;VMN;1;40;32,35;HM
1;1;2019;02.01.19;VMN;1;51;40,27;HM
1;1;2019;04.01.19;VMF;1;9;31,42;HM
1;1;2019;04.01.19;VMN;1;1;34,3;HM
1;1;2019;04.01.19;VMN;1;2;33,3;HM
1;1;2019;04.01.19;VMN;1;3;30,7;HM
1;1;2019;04.01.19;VMN;1;4;34,18;HM
1;1;2019;04.01.19;VMN;1;5;32,12;HM
1;1;2019;04.01.19;VMN;1;8;31,14;HM
1;2;2019;08.01.19;VMG;1;26;32,08;HM
1;3;2019;14.01.19;VMG;1;34;31,59;HM
1;3;2019;14.01.19;VMG;1;41;31,56;HM
1;3;2019;14.01.19;VMM;1;4;30,59;HM
1;3;2019;15.01.19;VMG;1;25;31,9;HM
1;3;2019;15.01.19;VMG;1;26;31,46;HM
1;3;2019;15.01.19;VMG;1;32;31,12;HM
1;3;2019;15.01.19;VMM;1;39;31,78;HM
1;3;2019;15.01.19;VMN;1;40;32,99;HM
1;4;2019;22.01.19;VMN;1;40;30,79;HM
1;5;2019;28.01.19;VMG;1;41;30,46;HM
1;5;2019;29.01.19;VMN;1;6;30,74;HM
1;5;2019;29.01.19;VMN;1;40;31,77;HM
2;6;2019;04.02.19;VMG;1;41;30,92;HM
2;7;2019;12.02.19;VMF;1;5;38,32;HM
2;7;2019;12.02.19;VMG;1;26;30,54;HM
2;7;2019;12.02.19;VMG;1;32;31,92;HM
2;7;2019;12.02.19;VMN;1;36;32,17;HM
2;7;2019;12.02.19;VMN;1;40;31,38;HM
2;8;2019;18.02.19;VMG;1;34;30,93;HM
2;8;2019;18.02.19;VMG;1;41;32,97;HM
2;8;2019;19.02.19;VMG;1;12;31,38;HM
2;8;2019;19.02.19;VMG;1;26;31,1;HM
2;8;2019;19.02.19;VMG;1;32;32,86;HM
2;8;2019;19.02.19;VMG;1;42;30,67;HM
2;9;2019;26.02.19;VMG;1;32;32,54;HM
3;10;2019;04.03.19;VMG;1;34;31,6;HM
3;11;2019;11.03.19;VMG;1;32;30,54;HM
3;11;2019;11.03.19;VMM;1;4;30,82;HM
3;12;2019;18.03.19;VMG;1;32;31,1;HM
3;12;2019;18.03.19;VMG;1;34;30,82;HM
3;12;2019;19.03.19;VMF;1;24;30,79;HM
3;12;2019;19.03.19;VMG;1;26;31,4;HM
3;12;2019;19.03.19;VMG;1;32;31,44;HM
3;12;2019;19.03.19;VMN;1;4;31,64;HM
3;12;2019;22.03.19;VMM;1;21;31,23;HM
3;13;2019;25.03.19;VMG;1;12;31,1;HM
3;13;2019;25.03.19;VMG;1;32;33,56;HM
3;13;2019;25.03.19;VMG;1;34;32,82;HM
3;13;2019;25.03.19;VMG;1;41;31,28;HM
3;13;2019;25.03.19;VMM;1;4;30,77;HM
3;13;2019;26.03.19;VMG;1;26;30,8;HM
3;13;2019;26.03.19;VMG;1;32;31,62;HM
4;14;2019;01.04.19;VMG;1;4;31,26;HM
4;14;2019;01.04.19;VMG;1;34;31,97;HM
4;14;2019;01.04.19;VMM;1;4;30,75;HM
4;14;2019;02.04.19;VMF;1;24;32,47;HM
4;14;2019;02.04.19;VMG;1;26;32,02;HM
4;14;2019;02.04.19;VMG;1;32;33,95;HM
4;14;2019;02.04.19;VMG;1;41;33,46;HM
4;14;2019;02.04.19;VMM;1;25;30,97;HM
4;14;2019;02.04.19;VMN;1;4;30,99;HM
4;14;2019;05.04.19;VMG;1;9;32,68;HM
4;15;2019;08.04.19;VMF;1;9;31,48;HM
4;15;2019;08.04.19;VMG;1;12;33,34;HM
4;15;2019;08.04.19;VMG;1;32;32,63;HM
4;15;2019;08.04.19;VMG;1;34;33,14;HM
4;15;2019;08.04.19;VMG;1;41;32,1;HM
4;15;2019;09.04.19;VMG;1;25;34,04;HM
4;15;2019;09.04.19;VMG;1;26;32,12;HM
4;15;2019;09.04.19;VMG;1;32;33,65;HM
4;15;2019;09.04.19;VMG;1;36;30,61;HM
4;15;2019;09.04.19;VMG;1;48;30,5;HM
4;15;2019;09.04.19;VMN;1;2;33,93;HM
4;15;2019;09.04.19;VMN;1;48;30,86;HM
4;16;2019;15.04.19;VMG;1;34;31,18;HM
4;16;2019;15.04.19;VMG;1;41;32,68;HM
4;16;2019;16.04.19;VMG;1;32;30,71;HM
4;17;2019;23.04.19;VMF;1;9;31,85;HM
4;17;2019;23.04.19;VMG;1;4;30,72;HM
4;17;2019;23.04.19;VMG;1;12;33,0;HM
4;17;2019;23.04.19;VMG;1;32;36,71;HM
4;17;2019;23.04.19;VMG;1;34;33,22;HM
4;17;2019;23.04.19;VMG;1;41;35,58;HM
4;17;2019;23.04.19;VMM;1;4;32,28;HM
4;17;2019;23.04.19;VMN;1;1;31,6;HM
4;17;2019;24.04.19;VMG;1;32;31,5;HM
4;18;2019;30.04.19;VMG;1;26;30,48;HM
4;18;2019;30.04.19;VMG;1;32;30,52;HM
5;18;2019;02.05.19;VMN;1;45;31,45;HM
5;18;2019;03.05.19;VMM;1;4;30,73;HM
5;18;2019;04.05.19;VMN;1;20;31,96;HM
5;20;2019;13.05.19;VMG;1;4;31,06;HM
5;20;2019;13.05.19;VMG;1;34;31,28;HM
5;20;2019;13.05.19;VMG;1;41;30,7;HM
5;20;2019;14.05.19;VMG;1;12;31,66;HM
5;20;2019;14.05.19;VMG;1;25;31,3;HM
5;20;2019;14.05.19;VMG;1;26;31,4;HM
5;21;2019;20.05.19;VMG;1;32;31,14;HM
5;21;2019;20.05.19;VMG;1;34;32,56;HM
5;21;2019;21.05.19;VMG;1;12;32,5;HM
5;21;2019;21.05.19;VMG;1;25;34,32;HM
5;21;2019;21.05.19;VMG;1;26;31,85;HM
5;21;2019;21.05.19;VMG;1;32;33,64;HM
5;22;2019;27.05.19;VMF;1;9;33,04;HM
5;22;2019;27.05.19;VMG;1;4;30,64;HM
5;22;2019;27.05.19;VMG;1;12;31,78;HM
5;22;2019;27.05.19;VMG;1;32;31,03;HM
5;22;2019;27.05.19;VMG;1;34;32,5;HM
5;22;2019;27.05.19;VMG;1;41;31,84;HM
5;22;2019;27.05.19;VMM;1;4;30,61;HM
5;22;2019;28.05.19;VMG;1;25;33,62;HM
5;22;2019;28.05.19;VMG;1;32;30,67;HM
5;22;2019;31.05.19;VMG;1;4;32,12;HM
5;22;2019;31.05.19;VMG;1;12;33,12;HM
5;22;2019;31.05.19;VMG;1;32;33,41;HM
5;22;2019;31.05.19;VMG;1;34;32,72;HM
6;22;2019;01.06.19;VMM;1;15;32,17;HM
6;24;2019;11.06.19;VMG;1;4;34,3;HM
6;24;2019;11.06.19;VMG;1;12;35,22;HM
6;24;2019;11.06.19;VMG;1;32;34,07;HM
6;24;2019;11.06.19;VMG;1;34;34,2;HM
6;24;2019;11.06.19;VMG;1;40;33,37;HM
6;24;2019;11.06.19;VMG;1;41;34,68;HM
6;24;2019;11.06.19;VMM;1;4;33,42;HM
6;24;2019;11.06.19;VMN;1;50;32,02;HM
6;24;2019;12.06.19;VMF;1;13;32,1;HM
6;24;2019;12.06.19;VMF;1;37;32,83;HM
6;24;2019;12.06.19;VMG;1;12;34,8;HM
6;24;2019;12.06.19;VMG;1;24;31,15;HM
6;24;2019;12.06.19;VMG;1;25;33,94;HM
6;24;2019;12.06.19;VMG;1;26;36,24;HM
6;24;2019;12.06.19;VMG;1;32;41,3;HM
6;24;2019;12.06.19;VMG;1;36;30,75;HM
6;24;2019;12.06.19;VMG;1;41;35,54;HM
6;24;2019;12.06.19;VMG;1;50;32,44;HM
6;24;2019;12.06.19;VMN;1;1;30,58;HM
6;24;2019;14.06.19;VMF;1;9;32,01;HM
6;26;2019;24.06.19;VMG;1;12;32,44;HM
6;26;2019;24.06.19;VMG;1;32;31,01;HM
6;26;2019;24.06.19;VMG;1;34;31,7;HM
6;26;2019;24.06.19;VMG;1;41;32,3;HM
6;26;2019;24.06.19;VMN;1;45;31,05;HM
6;26;2019;25.06.19;VMG;1;25;32,22;HM
6;26;2019;25.06.19;VMG;1;32;31,49;HM
8;32;2019;05.08.19;VMG;1;41;32,2;HM
8;32;2019;05.08.19;VMM;1;4;30,82;HM
8;32;2019;07.08.19;VMN;1;45;39,62;HM
8;33;2019;15.08.19;VMN;1;45;31,61;HM
8;34;2019;19.08.19;VMG;1;34;30,78;HM
8;34;2019;20.08.19;VMG;1;32;30,67;HM
