Date,Temperature_Max (°C),Rain_Sum (mm),Snowfall_Sum (cm),Wind_Speed_Max (km/h),Daylight_Duration (s),Temperature_Max (°C) 3-Day Avg,Rain_Sum (mm) 3-Day Avg,Snowfall_Sum (cm) 3-Day Avg,Wind_Speed_Max (km/h) 3-Day Avg,Daylight_Duration (s) 3-Day Avg
2018-12-28,7.1,0.4,0.0,20.2,27666.13,7.1,0.4,0.0,20.2,27666.13
2018-12-29,6.5,2.9,0.0,21.9,27712.32,6.8,1.65,0.0,21.049999999999997,27689.225
2018-12-30,7.6,4.6,0.0,30.6,27765.29,7.066666666666666,2.6333333333333333,0.0,24.233333333333334,27714.58
2018-12-31,7.3,0.0,0.0,17.6,27825.61,7.133333333333333,2.4999999999999996,0.0,23.366666666666664,27767.74
2019-01-01,7.5,1.9,0.0,36.8,27893.2,7.466666666666666,2.1666666666666665,0.0,28.333333333333332,27828.033333333336
2019-01-02,3.6,0.0,0.0,31.2,27967.86,6.133333333333333,0.6333333333333333,0.0,28.53333333333333,27895.556666666667
2019-01-03,2.2,0.1,0.21,21.4,28049.35,4.433333333333333,0.6666666666666666,0.06999999999999999,29.799999999999997,27970.13666666667
2019-01-04,4.8,0.4,0.07,23.8,28137.45,3.5333333333333337,0.16666666666666666,0.09333333333333334,25.46666666666667,28051.553333333333
2019-01-05,7.6,1.2,0.0,21.3,28231.93,4.866666666666667,0.5666666666666667,0.09333333333333334,22.166666666666668,28139.576666666664
2019-01-06,2.9,0.0,0.0,12.8,28332.57,5.1,0.5333333333333333,0.023333333333333334,19.3,28233.983333333334
2019-01-07,5.1,2.7,0.0,22.2,28439.14,5.2,1.3,0.0,18.766666666666666,28334.546666666665
2019-01-08,5.9,10.8,0.0,32.2,28551.4,4.633333333333334,4.5,0.0,22.400000000000002,28441.036666666667
2019-01-09,2.9,5.2,3.01,28.5,28669.14,4.633333333333334,6.233333333333333,1.0033333333333332,27.633333333333336,28553.22666666667
2019-01-10,2.4,0.3,0.0,22.8,28792.12,3.733333333333333,5.433333333333334,1.0033333333333332,27.833333333333332,28670.88666666667
2019-01-11,5.3,0.7,1.4,21.1,28920.11,3.533333333333333,2.066666666666667,1.47,24.13333333333333,28793.789999999997
2019-01-12,5.5,3.0,0.0,24.9,29052.9,4.3999999999999995,1.3333333333333333,0.4666666666666666,22.933333333333334,28921.710000000003
2019-01-13,7.5,8.5,0.0,34.8,29190.26,6.1000000000000005,4.066666666666666,0.4666666666666666,26.933333333333334,29054.423333333336
2019-01-14,5.2,0.1,0.07,35.7,29331.96,6.066666666666666,3.8666666666666667,0.023333333333333334,31.799999999999997,29191.706666666665
2019-01-15,6.4,2.6,0.56,31.7,29477.8,6.366666666666667,3.733333333333333,0.21000000000000005,34.06666666666667,29333.339999999997
2019-01-16,7.0,1.8,0.0,27.7,29627.55,6.2,1.4999999999999993,0.21000000000000005,31.7,29479.103333333333
2019-01-17,6.5,4.3,0.98,25.6,29781.02,6.633333333333334,2.9,0.5133333333333333,28.333333333333332,29628.789999999997
2019-01-18,1.8,0.2,1.33,24.9,29937.99,5.1,2.099999999999999,0.77,26.066666666666663,29782.186666666665
2019-01-19,2.3,0.0,0.0,8.8,30098.54,3.5333333333333337,1.4999999999999993,0.77,19.766666666666666,29939.183333333334
2019-01-20,1.2,0.0,0.0,8.7,30264.4,1.7666666666666666,0.06666666666666608,0.44333333333333336,14.133333333333333,30100.31
2019-01-21,-1.2,0.0,0.0,14.3,30435.62,0.7666666666666666,0.0,0.0,10.6,30266.186666666665
2019-01-22,-0.3,0.0,0.0,14.3,30611.88,-0.09999999999999999,0.0,0.0,12.433333333333332,30437.300000000003
2019-01-23,-2.2,0.0,0.0,19.7,30792.84,-1.2333333333333334,0.0,0.0,16.099999999999998,30613.446666666667
2019-01-24,-3.1,0.0,0.0,16.4,30978.18,-1.8666666666666665,0.0,0.0,16.8,30794.3
2019-01-25,-2.5,0.0,0.0,13.4,31167.59,-2.6,0.0,0.0,16.5,30979.536666666667
2019-01-26,3.3,4.2,1.33,14.8,31360.77,-0.7666666666666667,1.3999999999999995,0.44333333333333336,14.866666666666667,31168.846666666668
2019-01-27,5.2,3.2,0.0,17.7,31557.4,2.0,2.4666666666666663,0.44333333333333336,15.299999999999999,31361.920000000002
2019-01-28,4.9,2.8,0.0,19.6,31757.21,4.466666666666667,3.4,0.44333333333333336,17.366666666666667,31558.460000000003
2019-01-29,2.9,0.6,0.49,21.6,31959.9,4.333333333333334,2.1999999999999993,0.16333333333333333,19.633333333333333,31758.170000000002
2019-01-30,2.8,0.0,0.0,25.6,32165.21,3.533333333333333,1.1333333333333326,0.16333333333333333,22.26666666666667,31960.773333333334
2019-01-31,3.5,0.0,0.0,17.9,32372.87,3.0666666666666664,0.1999999999999994,0.16333333333333333,21.7,32165.993333333332
2019-02-01,1.7,0.0,0.0,20.1,32582.6,2.6666666666666665,0.0,0.0,21.2,32373.559999999998
2019-02-02,1.8,1.2,3.71,15.1,32794.16,2.3333333333333335,0.3999999999999994,1.2366666666666666,17.7,32583.210000000003
2019-02-03,2.1,0.6,0.21,18.1,33007.3,1.8666666666666665,0.5999999999999993,1.3066666666666666,17.76666666666667,32794.68666666667
2019-02-04,4.8,0.0,0.0,17.6,33221.79,2.9,0.5999999999999993,1.3066666666666666,16.933333333333334,33007.75
2019-02-05,4.3,0.0,0.28,19.6,33437.37,3.733333333333333,0.1999999999999994,0.16333333333333333,18.433333333333334,33222.15333333333
2019-02-06,6.3,0.0,0.0,20.6,33653.84,5.133333333333334,0.0,0.09333333333333334,19.26666666666667,33437.666666666664
2019-02-07,6.2,0.1,0.0,20.6,33870.95,5.6000000000000005,0.03333333333333274,0.09333333333333334,20.26666666666667,33654.05333333332
2019-02-08,8.3,0.0,0.0,24.9,34088.84,6.933333333333334,0.03333333333333274,0.0,22.03333333333333,33871.20999999999
2019-02-09,9.9,2.1,0.0,31.9,34309.56,8.133333333333335,0.7333333333333328,0.0,25.8,34089.783333333326
2019-02-10,8.6,8.0,0.0,31.2,34533.29,8.933333333333335,3.366666666666666,0.0,29.333333333333332,34310.56333333333
2019-02-11,6.6,2.9,0.28,33.4,34759.77,8.366666666666667,4.333333333333333,0.09333333333333334,32.166666666666664,34534.206666666665
2019-02-12,5.4,0.0,0.0,26.4,34988.75,6.866666666666667,3.633333333333333,0.09333333333333334,30.33333333333333,34760.60333333333
2019-02-13,8.1,0.6,0.0,25.6,35219.97,6.7,1.166666666666666,0.09333333333333334,28.46666666666667,34989.496666666666
2019-02-14,9.8,0.2,0.0,16.6,35453.2,7.766666666666668,0.2666666666666661,0.0,22.866666666666664,35220.63999999999
2019-02-15,11.3,0.0,0.0,11.5,35688.2,9.733333333333334,0.2666666666666661,0.0,17.9,35453.79
2019-02-16,14.0,0.0,0.0,15.0,35924.73,11.700000000000001,0.06666666666666608,0.0,14.366666666666665,35688.71
2019-02-17,12.2,0.0,0.0,10.8,36162.58,12.5,0.0,0.0,12.433333333333332,35925.17
2019-02-18,13.1,0.0,0.0,10.4,36401.53,13.1,0.0,0.0,12.066666666666665,36162.94666666666
2019-02-19,9.7,1.2,0.0,23.0,36641.37,11.666666666666666,0.3999999999999994,0.0,14.733333333333333,36401.82666666666
2019-02-20,9.7,0.2,0.0,21.3,36881.88,10.833333333333334,0.46666666666666606,0.0,18.23333333333333,36641.59333333333
2019-02-21,11.1,3.9,0.0,23.1,37122.88,10.166666666666666,1.766666666666666,0.0,22.466666666666665,36882.043333333335
2019-02-22,8.4,0.9,0.0,23.7,37364.16,9.733333333333334,1.666666666666666,0.0,22.7,37122.97333333333
2019-02-23,4.1,0.0,0.0,12.7,37605.54,7.866666666666667,1.5999999999999994,0.0,19.833333333333332,37364.19333333333
2019-02-24,10.0,0.0,0.0,9.5,37846.8,7.5,0.29999999999999943,0.0,15.299999999999997,37605.5
2019-02-25,12.5,0.0,0.0,14.6,38087.79,8.866666666666667,0.0,0.0,12.266666666666664,37846.71
2019-02-26,11.2,0.0,0.0,13.4,38328.32,11.233333333333334,0.0,0.0,12.499999999999998,38087.636666666665
2019-02-27,14.2,0.0,0.0,12.4,38568.19,12.633333333333333,0.0,0.0,13.466666666666663,38328.1
2019-02-28,12.4,0.0,0.0,22.0,38807.55,12.6,0.0,0.0,15.93333333333333,38568.02
2019-03-01,5.9,0.4,0.0,15.8,39048.3,10.833333333333334,0.13333333333333275,0.0,16.73333333333333,38808.01333333333
2019-03-02,5.7,0.0,0.0,15.2,39290.71,8.0,0.13333333333333275,0.0,17.666666666666664,39048.85333333333
2019-03-03,10.1,4.3,0.0,25.1,39534.58,7.233333333333334,1.5666666666666662,0.0,18.7,39291.19666666666
2019-03-04,14.3,1.8,0.0,40.3,39779.74,10.033333333333333,2.0333333333333328,0.0,26.866666666666664,39535.01
2019-03-05,8.7,1.2,0.0,37.9,40026.0,11.033333333333333,2.4333333333333327,0.0,34.43333333333333,39780.10666666667
2019-03-06,11.2,0.0,0.0,23.3,40273.21,11.4,0.9999999999999994,0.0,33.833333333333336,40026.31666666666
2019-03-07,16.2,1.9,0.0,33.9,40521.2,12.033333333333331,1.0333333333333325,0.0,31.7,40273.47
2019-03-08,9.6,1.2,0.0,41.5,40769.79,12.333333333333334,1.0333333333333325,0.0,32.9,40521.4
2019-03-09,11.5,10.7,0.0,43.7,41018.83,12.433333333333332,4.599999999999999,0.0,39.699999999999996,40769.939999999995
2019-03-10,7.6,10.0,1.26,30.6,41268.15,9.566666666666666,7.3,0.42,38.599999999999994,41018.92333333333
2019-03-11,5.6,3.4,0.63,27.5,41517.61,8.233333333333334,8.033333333333333,0.63,33.93333333333333,41268.19666666666
2019-03-12,8.3,0.1,0.0,25.2,41767.03,7.166666666666667,4.499999999999999,0.63,27.766666666666662,41517.59666666667
2019-03-13,10.0,2.1,0.0,37.7,42016.27,7.966666666666666,1.866666666666666,0.21,30.133333333333326,41766.969999999994
2019-03-14,8.4,9.1,0.0,29.9,42265.17,8.9,3.7666666666666657,0.0,30.933333333333326,42016.15666666666
2019-03-15,9.5,4.0,0.0,35.1,42513.57,9.299999999999999,5.0666666666666655,0.0,34.23333333333333,42265.00333333333
2019-03-16,9.0,4.8,0.0,35.5,42761.32,8.966666666666667,5.966666666666666,0.0,33.49999999999999,42513.35333333333
2019-03-17,12.6,2.3,0.0,31.4,43008.25,10.366666666666667,3.699999999999999,0.0,33.99999999999999,42761.04666666666
2019-03-18,7.7,2.5,0.0,36.8,43254.23,9.766666666666667,3.199999999999999,0.0,34.566666666666656,43007.93333333333
2019-03-19,8.3,0.3,0.0,21.0,43499.1,9.533333333333333,1.6999999999999986,0.0,29.733333333333324,43253.85999999999
2019-03-20,11.6,0.0,0.0,19.1,43742.95,9.200000000000001,0.9333333333333321,0.0,25.633333333333326,43498.759999999995
2019-03-21,13.7,0.0,0.0,18.4,43987.55,11.200000000000001,0.09999999999999881,0.0,19.499999999999993,43743.19999999999
2019-03-22,13.5,0.0,0.0,11.4,44233.16,12.933333333333332,0.0,0.0,16.299999999999994,43987.88666666666
2019-03-23,16.9,0.0,0.0,20.7,44479.61,14.699999999999998,0.0,0.0,16.833333333333325,44233.44
2019-03-24,10.7,0.0,0.0,10.3,44726.77,13.699999999999998,0.0,0.0,14.133333333333326,44479.84666666666
2019-03-25,7.9,2.5,0.49,27.0,44974.5,11.833333333333334,0.8333333333333321,0.16333333333333333,19.33333333333333,44726.95999999999
2019-03-26,8.3,0.1,0.0,31.2,45222.66,8.966666666666667,0.8666666666666655,0.16333333333333333,22.833333333333325,44974.64333333333
2019-03-27,9.5,0.1,0.0,21.6,45471.12,8.566666666666668,0.8999999999999989,0.16333333333333333,26.599999999999994,45222.76
2019-03-28,11.0,3.5,0.0,16.8,45719.73,9.600000000000001,1.2333333333333323,0.0,23.199999999999992,45471.170000000006
2019-03-29,12.8,0.0,0.0,12.0,45968.34,11.1,1.1999999999999988,0.0,16.799999999999994,45719.73
2019-03-30,16.9,0.0,0.0,15.5,46216.81,13.566666666666665,1.1666666666666654,0.0,14.76666666666666,45968.293333333335
2019-03-31,12.0,0.0,0.0,18.9,46465.0,13.899999999999999,0.0,0.0,15.46666666666666,46216.71666666667
2019-04-01,10.1,0.0,0.0,20.0,46712.77,13.0,0.0,0.0,18.133333333333326,46464.85999999999
2019-04-02,13.8,0.0,0.0,21.4,46959.95,11.966666666666667,0.0,0.0,20.09999999999999,46712.57333333333
2019-04-03,18.0,0.2,0.0,15.3,47206.41,13.966666666666667,0.06666666666666549,0.0,18.89999999999999,46959.71
2019-04-04,19.3,0.0,0.0,18.3,47451.99,17.03333333333333,0.06666666666666549,0.0,18.333333333333325,47206.11666666667
2019-04-05,16.3,0.0,0.0,16.3,47696.53,17.866666666666667,0.06666666666666549,0.0,16.633333333333326,47451.64333333333
2019-04-06,20.0,0.0,0.0,16.9,47939.87,18.533333333333335,0.0,0.0,17.16666666666666,47696.13
2019-04-07,18.3,0.0,0.0,15.6,48181.85,18.2,0.0,0.0,16.26666666666666,47939.416666666664
2019-04-08,18.3,0.2,0.0,21.1,48422.29,18.866666666666667,0.06666666666666549,0.0,17.866666666666656,48181.33666666667
2019-04-09,11.6,0.0,0.0,18.6,48661.29,16.066666666666666,0.06666666666666549,0.0,18.433333333333326,48421.81
2019-04-10,8.7,0.0,0.0,17.9,48900.54,12.866666666666667,0.06666666666666549,0.0,19.199999999999992,48661.37333333333
2019-04-11,6.7,0.0,0.0,17.3,49140.26,9.0,0.0,0.0,17.933333333333326,48900.69666666666
2019-04-12,5.0,0.0,0.0,18.1,49380.31,6.8,0.0,0.0,17.766666666666662,49140.369999999995
2019-04-13,7.3,0.4,0.07,17.1,49620.54,6.333333333333333,0.13333333333333217,0.023333333333333334,17.499999999999996,49380.369999999995
2019-04-14,9.5,2.3,0.35,22.4,49860.8,7.266666666666667,0.8999999999999987,0.13999999999999999,19.199999999999992,49620.549999999996
2019-04-15,12.6,0.0,0.0,17.1,50100.95,9.799999999999999,0.8999999999999987,0.13999999999999999,18.86666666666666,49860.76333333333
2019-04-16,14.7,0.0,0.0,21.7,50340.83,12.266666666666666,0.7666666666666654,0.11666666666666665,20.399999999999995,50100.85999999999
2019-04-17,16.9,0.0,0.0,17.0,50580.28,14.733333333333333,0.0,0.0,18.599999999999994,50340.68666666667
2019-04-18,20.0,0.0,0.0,18.7,50819.14,17.2,0.0,0.0,19.133333333333326,50580.083333333336
2019-04-19,20.9,0.0,0.0,17.4,51057.25,19.266666666666666,0.0,0.0,17.699999999999992,50818.88999999999
2019-04-20,20.1,0.0,0.0,13.3,51294.43,20.333333333333332,0.0,0.0,16.466666666666658,51056.94
2019-04-21,20.1,0.0,0.0,14.0,51530.52,20.366666666666667,0.0,0.0,14.899999999999991,51294.06666666666
2019-04-22,18.8,0.0,0.0,32.0,51765.32,19.666666666666668,0.0,0.0,19.76666666666666,51530.09
2019-04-23,19.7,0.4,0.0,40.0,51998.65,19.533333333333335,0.13333333333333217,0.0,28.666666666666657,51764.829999999994
2019-04-24,22.6,0.0,0.0,25.5,52230.32,20.366666666666667,0.13333333333333217,0.0,32.49999999999999,51998.09666666667
2019-04-25,24.3,0.2,0.0,17.6,52460.14,22.2,0.19999999999999885,0.0,27.69999999999999,52229.70333333333
2019-04-26,25.2,2.6,0.0,22.1,52687.91,24.03333333333333,0.9333333333333322,0.0,21.733333333333324,52459.456666666665
2019-04-27,17.2,4.1,0.0,23.5,52913.4,22.233333333333334,2.299999999999999,0.0,21.06666666666666,52687.15
2019-04-28,13.0,0.9,0.0,19.9,53136.41,18.46666666666667,2.5333333333333323,0.0,21.833333333333325,52912.573333333334
2019-04-29,16.8,3.3,0.0,24.7,53356.98,15.666666666666666,2.7666666666666653,0.0,22.69999999999999,53135.59666666667
2019-04-30,17.4,0.0,0.0,18.8,53576.77,15.733333333333334,1.3999999999999986,0.0,21.133333333333322,53356.72
2019-05-01,17.2,4.8,0.0,24.2,53795.96,17.133333333333333,2.699999999999999,0.0,22.56666666666666,53576.57
2019-05-02,14.1,0.4,0.0,28.8,54014.39,16.23333333333333,1.7333333333333323,0.0,23.933333333333323,53795.706666666665
2019-05-03,10.7,0.2,0.0,25.0,54231.89,14.0,1.7999999999999987,0.0,25.99999999999999,54014.079999999994
2019-05-04,10.3,2.3,0.0,16.5,54448.26,11.700000000000001,0.9666666666666655,0.0,23.433333333333323,54231.51333333333
2019-05-05,11.5,0.0,0.0,13.5,54663.33,10.833333333333334,0.8333333333333321,0.0,18.333333333333325,54447.82666666666
2019-05-06,11.4,0.2,0.0,23.5,54876.88,11.066666666666668,0.8333333333333321,0.0,17.833333333333325,54662.823333333334
2019-05-07,12.3,0.7,0.0,14.0,55088.75,11.733333333333334,0.29999999999999877,0.0,16.99999999999999,54876.32
