Datum,Feiertag
2019-01-01,Neujahr
2019-03-08,Internationaler Frauentag
2019-04-19,Karfreitag
2019-04-22,Ostermontag
2019-05-01,Tag der Arbeit
2019-05-30,Christi Himmelfahrt
2019-06-10,Pfingstmontag
2019-10-03,Tag der Deutschen Einheit
2019-12-25,Erster Weihnachtstag
2019-12-26,Zweiter Weihnachtstag
2020-01-01,Neujahr
2020-03-08,Internationaler Frauentag
2020-04-10,Karfreitag
2020-04-13,Ostermontag
2020-05-01,Tag der Arbeit
2020-05-08,Tag der Befreiung
2020-05-21,Christi Himmelfahrt
2020-06-01,Pfingstmontag
2020-10-03,Tag der Deutschen Einheit
2020-12-25,Erster Weihnachtstag
2020-12-26,Zweiter Weihnachtstag
2021-01-01,Neujahr
2021-03-08,Internationaler Frauentag
2021-04-02,Karfreitag
2021-04-05,Ostermontag
2021-05-01,Tag der Arbeit
2021-05-13,Christi Himmelfahrt
2021-05-24,Pfingstmontag
2021-10-03,Tag der Deutschen Einheit
2021-12-25,Erster Weihnachtstag
2021-12-26,Zweiter Weihnachtstag
2022-01-01,Neujahr
2022-03-08,Internationaler Frauentag
2022-04-15,Karfreitag
2022-04-18,Ostermontag
2022-05-01,Tag der Arbeit
2022-05-26,Christi Himmelfahrt
2022-06-06,Pfingstmontag
2022-10-03,Tag der Deutschen Einheit
2022-12-25,Erster Weihnachtstag
2022-12-26,Zweiter Weihnachtstag
2023-01-01,Neujahr
2023-03-08,Internationaler Frauentag
2023-04-07,Karfreitag
2023-04-10,Ostermontag
2023-05-01,Tag der Arbeit
2023-05-18,Christi Himmelfahrt
2023-05-29,Pfingstmontag
2023-10-03,Tag der Deutschen Einheit
2023-12-25,Erster Weihnachtstag
2023-12-26,Zweiter Weihnachtstag
